date,season,HomeTeam,AwayTeam,gf,ga,home_rolling_xg,away_rolling_xg,home_rolling_xga,away_rolling_xga,home_rolling_points,away_rolling_points,home_rolling_poss,away_rolling_poss,home_rolling_sot_ratio,away_rolling_sot_ratio,xg_diff,xga_diff,outcome,over_2_5
2023-03-04,2023,Arsenal,Bournemouth,3,2,1.9,1.22,1.1,1.8199999999999998,2.0,1.0,67.4,34.6,0.21753623188405796,0.21432983682983683,0.6799999999999999,-0.7199999999999998,0,1
2023-03-19,2023,Arsenal,Crystal Palace,4,1,2.14,0.6599999999999999,0.76,1.1400000000000001,3.0,0.4,67.8,39.2,0.30806451612903224,0.13454545454545455,1.4800000000000002,-0.3800000000000001,0,1
2023-04-01,2023,Arsenal,Leeds,4,1,1.8199999999999998,0.9800000000000001,0.82,1.7399999999999998,3.0,1.4,66.8,45.2,0.3247311827956989,0.23290043290043289,0.8399999999999997,-0.9199999999999998,0,1
2023-04-21,2023,Arsenal,Southampton,3,3,2.3600000000000003,0.8800000000000001,1.6,1.8800000000000001,2.2,0.2,58.8,51.8,0.4377777777777778,0.25606060606060604,1.4800000000000002,-0.28,1,1
2023-05-02,2023,Arsenal,Chelsea,3,1,2.16,1.44,2.04,1.16,1.2,0.2,59.8,58.8,0.3677777777777778,0.20390313390313386,0.7200000000000002,0.8800000000000001,0,1
2023-05-14,2023,Arsenal,Brighton,0,3,1.72,2.8,1.54,1.48,1.6,1.8,58.4,65.0,0.4225,0.3231005993154331,-1.0799999999999998,0.06000000000000005,2,1
2023-05-28,2023,Arsenal,Wolves,5,0,1.0,0.9800000000000001,1.3800000000000001,2.16,1.2,1.4,54.0,45.2,0.3656168831168831,0.2335897435897436,0.019999999999999907,-0.78,0,1
2023-08-12,2024,Arsenal,Nott'm Forest,2,1,1.46,0.9800000000000001,0.9800000000000001,1.5800000000000003,1.8,1.6,54.6,29.2,0.4299025974025974,0.4123160173160173,0.47999999999999987,-0.6000000000000002,0,1
2023-08-26,2024,Arsenal,Fulham,2,2,1.42,1.3800000000000001,1.0,2.2600000000000002,1.8,1.4,60.8,54.6,0.3215051615051615,0.2555555555555556,0.039999999999999813,-1.2600000000000002,1,1
2023-09-03,2024,Arsenal,Man United,3,1,1.8799999999999997,3.04,0.78,1.7600000000000002,2.0,2.4,66.8,51.4,0.3929337329337329,0.34563789152024443,-1.1600000000000004,-0.9800000000000002,0,1
2023-09-24,2024,Arsenal,Tottenham,2,2,1.86,1.8800000000000001,0.8,1.4,2.6,2.6,66.2,60.6,0.3444645550527904,0.38403361344537823,-0.020000000000000018,-0.5999999999999999,1,1
2023-10-08,2024,Arsenal,Man City,1,0,2.34,2.3,0.76,0.8799999999999999,2.2,2.4,60.8,68.0,0.3793363499245852,0.46890840294138647,0.040000000000000036,-0.11999999999999988,0,0
2023-10-28,2024,Arsenal,Sheffield United,5,0,1.52,0.9400000000000002,0.82,2.2800000000000002,2.2,0.0,56.6,39.6,0.3,0.360988455988456,0.5799999999999998,-1.4600000000000004,0,1
2023-11-11,2024,Arsenal,Burnley,3,1,1.64,0.9600000000000002,0.68,1.7399999999999998,2.0,0.6,57.4,52.2,0.28608058608058606,0.3092997198879552,0.6799999999999997,-1.0599999999999996,0,1
2023-12-02,2024,Arsenal,Wolves,2,1,1.5599999999999998,1.6,0.74,1.48,2.0,1.4,61.4,50.2,0.2887728937728938,0.39392751039809865,-0.04000000000000026,-0.74,0,1
